ID,Date,Genotype,Treatment,A_Ci,A_Qin
20190222,20190222,ME034,31_22_450,1,1
20190304,20190304,ME034,31_22_450,1,1
20190311,20190311,ME034,31_22_450,1,1
20190312,20190312,ME034,31_22_450,1,1
20190326,20190326,A10,31_22_450,1,1
20190722,20190722,ME034,31_31_250,1,1
20190821,20190821,ME034,31_31_250,1,1
20190910,20190910,ME034,31_22_250,1,1
20191029,20191029,ME034,31_22_250,1,1
20200304,20200304,ME034,greenhouse,1,1
20200905_outdoor_5cm,20200905,ME034,outdoor_5cm,1,0
20200905_outdoor_JollyG,20200905,ME034,outdoor_JollyG,1,0
